cast  event       date      time  lat       lon       prmax   bot_Nis  depth     press     temp     potemp    sigma_0   sal_cal  O2_cal  sal_nis  o2_nis  
2     11157-2204  20110606  1304  33.982    146.952   1000.0  24       19.5      19.6      20.462   20.463    1024.425  34.716   nd      34.713   5.216   
2     11157-2204  20110606  1304  33.982    146.952   1000.0  23       18.8      18.9      20.477   20.478    1024.420  34.715   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  22       19.6      19.7      20.460   20.461    1024.425  34.716   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  21       19.1      19.2      20.470   20.472    1024.422  34.715   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  20       49.1      49.5      20.170   20.166    1024.504  34.716   nd      34.715   5.217   
2     11157-2204  20110606  1304  33.982    146.952   1000.0  19       49.8      50.2      20.170   20.166    1024.505  34.717   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  18       49.5      49.9      20.170   20.166    1024.504  34.717   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  17       49.1      49.5      20.170   20.166    1024.504  34.716   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  16       101.4     102.2     18.666   18.653    1024.898  34.720   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  15       101.0     101.8     18.674   18.660    1024.895  34.720   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  14       100.6     101.4     18.680   18.667    1024.893  34.719   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  13       101.3     102.1     18.668   18.655    1024.897  34.720   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  12       197.7     199.3     17.347   17.318    1025.214  34.706   nd      34.707   4.581   
2     11157-2204  20110606  1304  33.982    146.952   1000.0  11       197.7     199.3     17.347   17.318    1025.214  34.706   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  10       197.9     199.5     17.342   17.313    1025.216  34.706   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  9        197.6     199.2     17.350   17.321    1025.214  34.706   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  8        447.0     450.8     7.787    7.744     1026.490  33.954   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  7        446.5     450.3     7.706    7.663     1026.486  33.934   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  6        501.2     505.5     5.439    5.399     1026.655  33.772   nd      33.811   4.485   
2     11157-2204  20110606  1304  33.982    146.952   1000.0  5        501.0     505.3     5.467    5.427     1026.655  33.776   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  4        564.4     569.3     3.612    3.575     1026.757  33.654   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  3        564.8     569.7     3.629    3.591     1026.758  33.657   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  2        745.8     752.7     3.876    3.823     1027.048  34.049   nd      nd       nd      
2     11157-2204  20110606  1304  33.982    146.952   1000.0  1        982.1     991.7     3.485    3.415     1027.307  34.324   nd      34.325   1.032   
4     11158-0752  20110606  2252  34.507    147.004   1002.0  24       22.8      23.0      20.814   20.814    1024.309  34.688   nd      34.688   5.159   
4     11158-0752  20110606  2252  34.507    147.004   1002.0  23       22.5      22.7      20.892   20.893    1024.287  34.686   nd      nd       nd      
4     11158-0752  20110606  2252  34.507    147.004   1002.0  22       22.5      22.7      20.892   20.893    1024.287  34.686   nd      nd       nd      
4     11158-0752  20110606  2252  34.507    147.004   1002.0  21       22.7      22.9      20.840   20.840    1024.302  34.688   nd      nd       nd      
4     11158-0752  20110606  2252  34.507    147.004   1002.0  20       51.7      52.1      19.400   19.396    1024.705  34.716   nd      34.716   5.289   
4     11158-0752  20110606  2252  34.507    147.004   1002.0  19       52.0      52.4      19.397   19.392    1024.706  34.716   nd      nd       nd      
4     11158-0752  20110606  2252  34.507    147.004   1002.0  18       52.1      52.5      19.396   19.391    1024.706  34.716   nd      nd       nd      
4     11158-0752  20110606  2252  34.507    147.004   1002.0  17       52.0      52.4      19.397   19.392    1024.706  34.716   nd      nd       nd      
4     11158-0752  20110606  2252  34.507    147.004   1002.0  16       101.5     102.3     18.349   18.336    1024.988  34.735   nd      34.735   5.025   
4     11158-0752  20110606  2252  34.507    147.004   1002.0  15       101.8     102.6     18.340   18.326    1024.990  34.734   nd      nd       nd      
4     11158-0752  20110606  2252  34.507    147.004   1002.0  14       101.3     102.1     18.356   18.342    1024.986  34.735   nd      nd       nd      
